Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
32,1000000,MergeSort,231,18673527,true
32,1000000,HybridMergeSort,165,23192531,true
32,1500000,MergeSort,333,28910707,true
32,1500000,HybridMergeSort,247,33343241,true
32,2000000,MergeSort,429,39349104,true
32,2000000,HybridMergeSort,338,48364005,true
32,2500000,MergeSort,512,50026191,true
32,2500000,HybridMergeSort,386,55579478,true
32,5000000,MergeSort,1108,105048912,true
32,5000000,HybridMergeSort,843,116168768,true
32,7500000,MergeSort,1807,161908474,true
32,7500000,HybridMergeSort,1495,192736330,true
32,10000000,MergeSort,2318,220101481,true
32,10000000,HybridMergeSort,1865,242307045,true
35,1000,MergeSort,0,8716,true
35,1000,HybridMergeSort,0,13524,true
35,2000,MergeSort,0,19402,true
35,2000,HybridMergeSort,0,28792,true
35,3000,MergeSort,1,30917,true
35,3000,HybridMergeSort,0,40090,true
35,4000,MergeSort,0,42830,true
35,4000,HybridMergeSort,1,61582,true
35,5000,MergeSort,1,55233,true
35,5000,HybridMergeSort,0,66702,true
35,10000,MergeSort,2,120397,true
35,10000,HybridMergeSort,1,142794,true
35,20000,MergeSort,4,260740,true
35,20000,HybridMergeSort,3,307131,true
35,30000,MergeSort,4,408664,true
35,30000,HybridMergeSort,4,537000,true
35,40000,MergeSort,6,561779,true
35,40000,HybridMergeSort,4,654243,true
35,50000,MergeSort,8,718308,true
35,50000,HybridMergeSort,6,881732,true
35,100000,MergeSort,17,1536454,true
35,100000,HybridMergeSort,11,1862345,true
35,500000,MergeSort,97,8837022,true
35,500000,HybridMergeSort,69,11089376,true
35,1000000,MergeSort,203,18673361,true
35,1000000,HybridMergeSort,148,23196302,true
35,1500000,MergeSort,298,28909796,true
35,1500000,HybridMergeSort,221,33336688,true
35,2000000,MergeSort,446,39347337,true
35,2000000,HybridMergeSort,384,48365905,true
35,2500000,MergeSort,604,50024911,true
35,2500000,HybridMergeSort,392,55580470,true
35,5000000,MergeSort,1126,105051111,true
35,5000000,HybridMergeSort,992,116163751,true
35,7500000,MergeSort,1873,161907107,true
35,7500000,HybridMergeSort,1435,192749004,true
35,10000000,MergeSort,2458,220099220,true
35,10000000,HybridMergeSort,1795,242318291,true
40,1000,MergeSort,0,8668,true
40,1000,HybridMergeSort,0,13421,true
40,2000,MergeSort,0,19398,true
40,2000,HybridMergeSort,0,28587,true
40,3000,MergeSort,0,30899,true
40,3000,HybridMergeSort,0,39734,true
40,4000,MergeSort,1,42829,true
40,4000,HybridMergeSort,0,61535,true
40,5000,MergeSort,0,55221,true
40,5000,HybridMergeSort,1,86364,true
40,10000,MergeSort,1,120590,true
40,10000,HybridMergeSort,1,183763,true
40,20000,MergeSort,3,260956,true
40,20000,HybridMergeSort,2,386674,true
40,30000,MergeSort,5,408760,true
40,30000,HybridMergeSort,3,535407,true
40,40000,MergeSort,6,561485,true
