Threshold,Array Size,Algorithm,Time (ms),Comparisons,IsSorted
40,3000,MergeSort,1,30945,true
40,3000,HybridMergeSort,0,40037,true
40,4000,MergeSort,1,42791,true
40,4000,HybridMergeSort,0,62391,true
40,5000,MergeSort,1,55240,true
40,5000,HybridMergeSort,0,87258,true
40,10000,MergeSort,1,120417,true
40,10000,HybridMergeSort,2,184319,true
40,20000,MergeSort,4,260907,true
40,20000,HybridMergeSort,2,387048,true
40,30000,MergeSort,5,408644,true
40,30000,HybridMergeSort,3,535701,true
40,40000,MergeSort,7,561768,true
40,40000,HybridMergeSort,4,815781,true
40,50000,MergeSort,9,718063,true
40,50000,HybridMergeSort,6,880748,true
40,100000,MergeSort,17,1536171,true
40,100000,HybridMergeSort,11,1864342,true
40,500000,MergeSort,96,8837249,true
40,500000,HybridMergeSort,71,11090535,true
40,1000000,MergeSort,190,18674402,true
40,1000000,HybridMergeSort,147,23189485,true
40,1500000,MergeSort,295,28910611,true
40,1500000,HybridMergeSort,208,33330809,true
40,2000000,MergeSort,390,39348638,true
40,2000000,HybridMergeSort,297,48372622,true
40,2500000,MergeSort,507,50025394,true
40,2500000,HybridMergeSort,399,65326179,true
40,5000000,MergeSort,1044,105052538,true
40,5000000,HybridMergeSort,820,135627395,true
40,7500000,MergeSort,1545,161909358,true
40,7500000,HybridMergeSort,1311,192732056,true
40,10000000,MergeSort,2086,220101654,true
40,10000000,HybridMergeSort,1709,281207801,true
45,1000,MergeSort,0,8688,true
45,1000,HybridMergeSort,0,13541,true
45,2000,MergeSort,0,19431,true
45,2000,HybridMergeSort,1,28907,true
45,3000,MergeSort,0,30891,true
45,3000,HybridMergeSort,0,41691,true
45,4000,MergeSort,1,42830,true
45,4000,HybridMergeSort,0,61496,true
45,5000,MergeSort,1,55223,true
45,5000,HybridMergeSort,0,86946,true
45,10000,MergeSort,1,120395,true
45,10000,HybridMergeSort,1,183709,true
45,20000,MergeSort,3,260814,true
45,20000,HybridMergeSort,2,387651,true
45,30000,MergeSort,4,408624,true
45,30000,HybridMergeSort,3,535386,true
45,40000,MergeSort,6,561872,true
45,40000,HybridMergeSort,4,815584,true
45,50000,MergeSort,8,718510,true
45,50000,HybridMergeSort,5,880931,true
45,100000,MergeSort,18,1536620,true
45,100000,HybridMergeSort,12,1864409,true
45,500000,MergeSort,80,8836868,true
45,500000,HybridMergeSort,68,11100696,true
45,1000000,MergeSort,180,18673812,true
45,1000000,HybridMergeSort,146,23180091,true
45,1500000,MergeSort,293,28911529,true
45,1500000,HybridMergeSort,228,40570677,true
45,2000000,MergeSort,395,39347658,true
45,2000000,HybridMergeSort,297,48365127,true
45,2500000,MergeSort,518,50023319,true
