Threshold,Array Size,Algorithm,Time (ms),Comparisons
70,100000,MergeSort,500,1120228
70,100000,HybridMergeSort,11,2386725
70,200000,MergeSort,1472,2352390
70,200000,HybridMergeSort,27,4970282
70,300000,MergeSort,3653,3679639
70,300000,HybridMergeSort,39,6823834
70,500000,MergeSort,8742,6309088
70,500000,HybridMergeSort,74,14455493
70,1000000,MergeSort,44083,13404806
70,1000000,HybridMergeSort,162,29897033
75,1000,MergeSort,0,6676
75,1000,HybridMergeSort,0,20391
75,2000,MergeSort,0,14633
75,2000,HybridMergeSort,0,42054
75,3000,MergeSort,1,23437
75,3000,HybridMergeSort,0,54335
75,5000,MergeSort,1,40080
75,5000,HybridMergeSort,1,87182
75,10000,MergeSort,4,88779
75,10000,HybridMergeSort,0,183105
75,20000,MergeSort,21,188195
75,20000,HybridMergeSort,2,387115
75,30000,MergeSort,35,313500
75,30000,HybridMergeSort,4,730128
75,50000,MergeSort,65,543952
75,50000,HybridMergeSort,6,1140910
75,100000,MergeSort,425,1097974
75,100000,HybridMergeSort,15,2381780
75,200000,MergeSort,2001,2320880
75,200000,HybridMergeSort,29,4963173
75,300000,MergeSort,3139,3693238
75,300000,HybridMergeSort,45,9299439
75,500000,MergeSort,6731,6530098
75,500000,HybridMergeSort,78,14441074
75,1000000,MergeSort,43604,13366566
75,1000000,HybridMergeSort,152,29888590
80,1000,MergeSort,1,6416
80,1000,HybridMergeSort,0,19919
80,2000,MergeSort,0,14363
80,2000,HybridMergeSort,0,42727
80,3000,MergeSort,2,21903
80,3000,HybridMergeSort,0,55524
80,5000,MergeSort,1,41216
80,5000,HybridMergeSort,1,130001
80,10000,MergeSort,4,89512
80,10000,HybridMergeSort,1,270602
80,20000,MergeSort,12,181771
80,20000,HybridMergeSort,3,563161
80,30000,MergeSort,46,297135
80,30000,HybridMergeSort,4,728554
80,50000,MergeSort,36,502209
80,50000,HybridMergeSort,5,1140308
80,100000,MergeSort,442,1142299
80,100000,HybridMergeSort,12,2379515
80,200000,MergeSort,679,2311912
80,200000,HybridMergeSort,29,4963910
80,300000,MergeSort,2862,3619255
80,300000,HybridMergeSort,51,9294952
80,500000,MergeSort,13692,6317292
80,500000,HybridMergeSort,78,14445903
80,1000000,MergeSort,76207,13456255
80,1000000,HybridMergeSort,168,29914985
85,1000,MergeSort,0,7112
85,1000,HybridMergeSort,0,19936
85,2000,MergeSort,1,13762
85,2000,HybridMergeSort,0,41585
85,3000,MergeSort,0,23462
85,3000,HybridMergeSort,0,54011
85,5000,MergeSort,3,39516
85,5000,HybridMergeSort,0,132980
85,10000,MergeSort,5,88059
85,10000,HybridMergeSort,1,273007
85,20000,MergeSort,13,188346
85,20000,HybridMergeSort,2,563477
85,30000,MergeSort,35,304052
85,30000,HybridMergeSort,5,726687
85,50000,MergeSort,83,515125
85,50000,HybridMergeSort,5,1142049
85,100000,MergeSort,180,1108152
85,100000,HybridMergeSort,16,2379502
85,200000,MergeSort,1814,2343084
85,200000,HybridMergeSort,25,4961814
85,300000,MergeSort,4536,3651750
85,300000,HybridMergeSort,46,9288069
85,500000,MergeSort,4644,6281463
85,500000,HybridMergeSort,80,14447543
85,1000000,MergeSort,59861,13431910
85,1000000,HybridMergeSort,154,29914311
90,1000,MergeSort,0,6800
90,1000,HybridMergeSort,0,20200
90,2000,MergeSort,0,14825
90,2000,HybridMergeSort,0,42753
90,3000,MergeSort,1,23419
90,3000,HybridMergeSort,0,54451
90,5000,MergeSort,2,38796
90,5000,HybridMergeSort,0,130042
90,10000,MergeSort,5,88796
90,10000,HybridMergeSort,1,270700
90,20000,MergeSort,16,194871
90,20000,HybridMergeSort,2,564122
90,30000,MergeSort,48,294726
90,30000,HybridMergeSort,4,729253
90,50000,MergeSort,79,514598
90,50000,HybridMergeSort,5,1139698
90,100000,MergeSort,454,1105363
90,100000,HybridMergeSort,13,2384782
90,200000,MergeSort,2621,2288360
90,200000,HybridMergeSort,33,4960842
90,300000,MergeSort,5981,3647979
90,300000,HybridMergeSort,48,9289912
90,500000,MergeSort,7195,6436188
90,500000,HybridMergeSort,96,14456798
90,1000000,MergeSort,57542,13333354
90,1000000,HybridMergeSort,166,29898835
95,1000,MergeSort,1,6272
95,1000,HybridMergeSort,0,20556
95,2000,MergeSort,0,14670
95,2000,HybridMergeSort,0,43085
95,3000,MergeSort,0,23030
95,3000,HybridMergeSort,1,88521
95,5000,MergeSort,1,42391
95,5000,HybridMergeSort,1,129151
95,10000,MergeSort,5,92009
95,10000,HybridMergeSort,2,270166
95,20000,MergeSort,29,182824
95,20000,HybridMergeSort,3,566821
95,30000,MergeSort,37,296522
95,30000,HybridMergeSort,4,729810
95,50000,MergeSort,61,510212
95,50000,HybridMergeSort,6,1140401
95,100000,MergeSort,350,1116865
95,100000,HybridMergeSort,12,2380975
95,200000,MergeSort,1083,2445785
95,200000,HybridMergeSort,29,4960996
95,300000,MergeSort,2494,3714864
95,300000,HybridMergeSort,43,9294022
95,500000,MergeSort,6813,6363043
95,500000,HybridMergeSort,74,14447723
95,1000000,MergeSort,52672,13495063
95,1000000,HybridMergeSort,155,29883459
100,1000,MergeSort,0,6472
100,1000,HybridMergeSort,0,19859
100,2000,MergeSort,0,14509
100,2000,HybridMergeSort,0,42701
100,3000,MergeSort,1,22011
100,3000,HybridMergeSort,0,88717
100,5000,MergeSort,1,41147
100,5000,HybridMergeSort,1,129561
100,10000,MergeSort,4,87934
100,10000,HybridMergeSort,1,272080
100,20000,MergeSort,18,190257
100,20000,HybridMergeSort,2,561734
100,30000,MergeSort,24,290940
100,30000,HybridMergeSort,3,728788
100,50000,MergeSort,62,526377
100,50000,HybridMergeSort,5,1703340
100,100000,MergeSort,217,1100066
100,100000,HybridMergeSort,14,3504959
100,200000,MergeSort,977,2372899
100,200000,HybridMergeSort,32,7221537
100,300000,MergeSort,5307,3658906
100,300000,HybridMergeSort,40,9280618
100,500000,MergeSort,14982,6348544
100,500000,HybridMergeSort,89,14445785
100,1000000,MergeSort,32350,13487283
100,1000000,HybridMergeSort,159,29924374
