Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
458,457,28339,2015,0.004367,839056,5484
761,760,1609,201,0.002628,2316484,9120
763,762,2599,249,0.002621,2328676,9144
115,114,3977,931,0.017391,52900,1368
67,66,2445,987,0.029851,17956,792
597,596,1263,160,0.003350,1425636,7152
793,792,2718,277,0.002522,2515396,9504
640,639,2148,235,0.003125,1638400,7668
300,299,656,101,0.006667,360000,3588
683,682,4423,324,0.002928,1865956,8184
342,341,7592,655,0.005848,467856,4092
627,626,6550,430,0.003190,1572516,7512
520,519,2546,247,0.003846,1081600,6228
318,317,1167,138,0.006289,404496,3804
271,270,605,103,0.007380,293764,3240
990,989,32305,1341,0.002020,3920400,11868
100,99,499,113,0.020000,40000,1188
793,792,1647,187,0.002522,2515396,9504
554,553,10615,679,0.003610,1227664,6636
99,98,632,156,0.020202,39204,1176
386,385,836,117,0.005181,595984,4620
805,804,8012,590,0.002484,2592100,9648
701,700,1422,165,0.002853,1965604,8400
98,97,343,93,0.020408,38416,1164
171,170,368,76,0.011696,116964,2040
148,147,5541,1010,0.013514,87616,1764
962,961,133173,5691,0.002079,3701776,11532
187,186,2235,324,0.010695,139876,2232
778,777,48117,2207,0.002571,2421136,9324
980,979,277054,14240,0.002041,3841600,11748
205,204,428,85,0.009756,168100,2448
70,69,355,125,0.028571,19600,828
863,862,1656,188,0.002317,2979076,10344
437,436,2588,252,0.004577,763876,5232
77,76,180,64,0.025974,23716,912
104,103,630,149,0.019231,43264,1236
348,347,664,98,0.005747,484416,4164
837,836,3937,322,0.002389,2802276,10032
448,447,938,131,0.004464,802816,5364
945,944,17806,868,0.002116,3572100,11328
372,371,831,95,0.005376,553536,4452
319,318,664,108,0.006270,407044,3816
249,248,12547,1353,0.008032,248004,2976
868,867,1922,193,0.002304,3013696,10404
615,614,2845,262,0.003252,1512900,7368
172,171,370,79,0.011628,118336,2052
110,109,415,97,0.018182,48400,1308
330,329,678,103,0.006061,435600,3948
614,613,2769,273,0.003257,1507984,7356
121,120,276,75,0.016529,58564,1440
818,817,4611,384,0.002445,2676496,9804
704,703,1145,137,0.002841,1982464,8436
209,208,1054,136,0.009569,174724,2496
524,523,1288,115,0.003817,1098304,6276
488,487,759,97,0.004098,952576,5844
958,957,1710,190,0.002088,3671056,11484
991,990,2480,239,0.002018,3928324,11880
773,772,59857,2758,0.002587,2390116,9264
641,640,1997,233,0.003120,1643524,7680
625,624,1148,150,0.003200,1562500,7488
931,930,1607,161,0.002148,3467044,11160
715,714,36892,1616,0.002797,2044900,8568
567,566,1102,141,0.003527,1285956,6792
192,191,3596,533,0.010417,147456,2292
760,759,16576,878,0.002632,2310400,9108
570,569,3317,272,0.003509,1299600,6828
836,835,1527,167,0.002392,2795584,10020
828,827,231177,13851,0.002415,2742336,9924
29,28,135,70,0.068966,3364,336
937,936,1846,221,0.002134,3511876,11232
861,860,2918,290,0.002323,2965284,10320
501,500,6055,434,0.003992,1004004,6000
255,254,3353,353,0.007843,260100,3048
408,407,906,124,0.004902,665856,4884
83,82,1605,415,0.024096,27556,984
261,260,2109,258,0.007663,272484,3120
197,196,433,90,0.010152,155236,2352
869,868,134020,6128,0.002301,3020644,10416
997,996,12042,701,0.002006,3976036,11952
592,591,2892,280,0.003378,1401856,7092
368,367,4059,366,0.005435,541696,4404
807,806,101731,5344,0.002478,2604996,9672
133,132,486,94,0.015038,70756,1584
146,145,4076,730,0.013699,85264,1740
281,280,1471,162,0.007117,315844,3360
112,111,225,66,0.017857,50176,1332
2,1,41,61,1.000000,16,12
221,220,410,73,0.009050,195364,2640
144,143,4035,762,0.013889,82944,1716
529,528,1549,153,0.003781,1119364,6336
789,788,106200,5403,0.002535,2490084,9456
848,847,2837,272,0.002358,2876416,10164
404,403,5432,423,0.004950,652864,4836
240,239,820,116,0.008333,230400,2868
973,972,1944,219,0.002055,3786916,11664
667,666,9853,602,0.002999,1779556,7992
652,651,1362,150,0.003067,1700416,7812
307,306,3615,335,0.006515,376996,3672
611,610,3695,284,0.003273,1493284,7320
309,308,2028,250,0.006472,381924,3696
612,611,11951,724,0.003268,1498176,7332
407,406,75491,5278,0.004914,662596,4872
171,170,397,85,0.011696,116964,2040
310,309,1124,135,0.006452,384400,3708
263,262,10949,1183,0.007605,276676,3144
695,694,143100,8430,0.002878,1932100,8328
309,308,676,110,0.006472,381924,3696
257,256,941,125,0.007782,264196,3072
126,125,287,69,0.015873,63504,1500
325,324,1565,167,0.006154,422500,3888
811,810,4803,345,0.002466,2630884,9720
124,123,304,77,0.016129,61504,1476
442,441,927,123,0.004525,781456,5292
33,32,543,320,0.060606,4356,384
666,665,6675,436,0.003003,1774224,7980
179,178,3604,557,0.011173,128164,2136
242,241,862,119,0.008264,234256,2892
749,748,16369,879,0.002670,2244004,8976
649,648,1368,163,0.003082,1684804,7776
399,398,863,125,0.005013,636804,4776
993,992,4501,394,0.002014,3944196,11904
379,378,827,114,0.005277,574564,4536
578,577,1191,150,0.003460,1336336,6924
836,835,1608,165,0.002392,2795584,10020
836,835,2738,253,0.002392,2795584,10020
630,629,2917,290,0.003175,1587600,7548
732,731,1498,159,0.002732,2143296,8772
87,86,322,94,0.022989,30276,1032
788,787,1540,159,0.002538,2483776,9444
192,191,407,85,0.010417,147456,2292
632,631,1246,154,0.003165,1597696,7572
856,855,261252,15502,0.002336,2930944,10260
314,313,549,88,0.006369,394384,3756
767,766,2069,217,0.002608,2353156,9192
102,101,305,76,0.019608,41616,1212
762,761,11574,607,0.002625,2322576,9132
337,336,666,101,0.005935,454276,4032
237,236,4865,529,0.008439,224676,2832
534,533,1647,162,0.003745,1140624,6396
525,524,31549,1969,0.003810,1102500,6288
981,980,2500,256,0.002039,3849444,11760
136,135,4146,890,0.014706,73984,1620
450,449,1113,113,0.004444,810000,5388
36,35,92,49,0.055556,5184,420
442,441,5820,399,0.004525,781456,5292
791,790,2254,235,0.002528,2502724,9480
701,700,178306,10013,0.002853,1965604,8400
915,914,2866,256,0.002186,3348900,10968
718,717,1367,161,0.002786,2062096,8604
92,91,201,66,0.021739,33856,1092
808,807,1518,172,0.002475,2611456,9684
236,235,775,105,0.008475,222784,2820
892,891,1653,168,0.002242,3182656,10692
555,554,1710,149,0.003604,1232100,6648
131,130,289,72,0.015267,68644,1560
293,292,586,97,0.006826,343396,3504
345,344,8367,665,0.005797,476100,4128
60,59,2418,1209,0.033333,14400,708
983,982,41238,1531,0.002035,3865156,11784
566,565,2961,245,0.003534,1281424,6780
558,557,976,137,0.003584,1245456,6684
356,355,625,89,0.005618,506944,4260
487,486,867,112,0.004107,948676,5832
730,729,2126,221,0.002740,2131600,8748
226,225,21909,2538,0.008850,204304,2700
202,201,1471,186,0.009901,163216,2412
802,801,3473,289,0.002494,2572816,9612
828,827,114111,5683,0.002415,2742336,9924
864,863,1520,173,0.002315,2985984,10356
804,803,2274,216,0.002488,2585664,9636
924,923,323470,17899,0.002165,3415104,11076
983,982,1976,218,0.002035,3865156,11784
521,520,1097,135,0.003839,1085764,6240
300,299,5751,532,0.006667,360000,3588
503,502,27974,1574,0.003976,1012036,6024
613,612,69270,3935,0.003263,1503076,7344
892,891,8499,505,0.002242,3182656,10692
997,996,4649,487,0.002006,3976036,11952
752,751,1235,145,0.002660,2262016,9012
780,779,1161,124,0.002564,2433600,9348
693,692,2307,217,0.002886,1920996,8304
84,83,153,39,0.023810,28224,996
993,992,1511,170,0.002014,3944196,11904
37,36,94,55,0.054054,5476,432
919,918,5420,410,0.002176,3378244,11016
317,316,923,114,0.006309,401956,3792
438,437,782,106,0.004566,767376,5244
497,496,876,117,0.004024,988036,5952
761,760,2168,243,0.002628,2316484,9120
604,603,1090,125,0.003311,1459264,7236
