Vertices,Edges,Time Array (Method 1),Time Array (Method 2)
19,18,72,51
464,463,696,105
783,782,1212,158
812,811,83512,4743
848,847,2562,228
725,724,100588,7268
493,492,11806,873
693,692,2035,197
627,626,2467,193
358,357,680,115
168,167,5738,1096
461,460,54176,4975
512,511,787,117
597,596,1929,163
916,915,31914,1486
326,325,2157,203
292,291,4343,477
261,260,1067,141
597,596,7100,540
428,427,6910,548
137,136,3126,725
846,845,44956,2574
35,34,271,162
326,325,587,103
189,188,521,99
149,148,302,79
290,289,5382,574
995,994,15544,785
504,503,2272,206
835,834,5371,374
257,256,518,113
626,625,1191,164
766,765,2414,230
797,796,2515,237
378,377,764,119
218,217,12044,2064
439,438,45732,3925
629,628,5474,448
527,526,5838,429
419,418,1598,215
695,694,2359,288
451,450,1601,202
156,155,963,179
227,226,1952,253
989,988,6199,530
633,632,1101,149
840,839,1469,181
712,711,4007,300
246,245,748,115
721,720,2890,251
58,57,146,59
798,797,10443,673
566,565,6065,418
338,337,1361,162
233,232,8848,1238
201,200,1342,195
370,369,12111,1157
745,744,47315,2586
380,379,1265,132
653,652,1300,180
844,843,1728,200
879,878,19865,1052
782,781,46483,2714
428,427,3255,276
963,962,5010,418
959,958,53730,2323
1000,999,1780,219
449,448,31186,2415
340,339,942,155
689,688,8611,587
590,589,7847,567
719,718,1322,175
873,872,3325,352
339,338,1185,127
936,935,2336,213
132,131,486,102
842,841,1295,156
85,84,2630,858
241,240,12959,1730
669,668,29216,1762
701,700,8281,527
514,513,3736,300
274,273,871,115
762,761,1340,169
394,393,660,99
688,687,1039,132
59,58,169,68
266,265,401,72
725,724,1039,131
277,276,1203,159
675,674,31666,2024
234,233,3942,502
975,974,6069,459
479,478,4692,373
707,706,1223,150
354,353,1014,130
356,355,38548,4216
835,834,19073,1035
280,279,536,100
613,612,1136,155
513,512,1006,146
343,342,618,107
337,336,656,107
229,228,701,138
767,766,1352,174
284,283,830,104
517,516,903,135
326,325,12883,1222
40,39,117,58
861,860,165040,12099
315,314,6475,646
840,839,1163,145
6,5,45,38
392,391,644,95
2,1,35,36
805,804,8602,471
635,634,865,105
143,142,216,61
406,405,1290,129
827,826,1128,137
646,645,146307,13239
285,284,2456,294
586,585,1090,147
859,858,2508,202
984,983,51213,2352
309,308,975,136
130,129,270,76
172,171,1172,204
227,226,703,119
686,685,9768,674
706,705,161415,12501
681,680,930,120
53,52,547,198
361,360,9323,936
285,284,28717,3728
599,598,1025,144
175,174,2751,551
69,68,150,59
229,228,1166,167
460,459,3184,250
563,562,3874,265
571,570,935,116
238,237,460,93
157,156,273,64
743,742,1173,175
226,225,356,73
558,557,2350,181
962,961,1419,179
391,390,623,97
972,971,1460,180
215,214,362,89
407,406,2713,247
762,761,1234,161
144,143,252,65
865,864,157154,11618
165,164,419,84
210,209,529,89
896,895,1311,165
398,397,928,109
467,466,15722,1247
831,830,2148,230
249,248,1191,216
208,207,311,65
394,393,596,88
