Vertices,Edges,Time Array (Method 1),Time Array (Method 2),Density,Matrix Memory (bytes),List Memory (bytes)
690,152470,2455128,3333349,0.641425,1904400,1829640
420,61772,930195,793539,0.702034,705600,741264
27,671,1355,6214,1.911681,2916,8052
894,541588,4002245,8600901,1.356782,3196944,6499056
902,495921,4296126,6136439,1.220425,3254416,5951052
754,60173,2152681,1728351,0.211966,2274064,722076
12,44,341,741,0.666667,576,528
628,358269,1364899,8668894,1.819751,1577536,4299228
220,1648,172305,68291,0.068410,193600,19776
259,50352,336049,944780,1.507049,268324,604224
428,16790,690122,430989,0.183742,732736,201480
109,1932,43584,43536,0.328236,47524,23184
843,212141,3474970,2772175,0.597744,2842596,2545692
752,135718,2619486,2115588,0.480629,2262016,1628616
641,256540,2152730,8582766,1.250683,1643524,3078480
291,12372,367160,292737,0.293210,338724,148464
155,17370,122269,231207,1.455383,96100,208440
150,3475,91890,78372,0.310962,90000,41700
51,2174,5913,29025,1.705098,10404,26088
428,19843,721008,405522,0.217153,732736,238116
540,257140,1144005,3477969,1.766921,1166400,3085680
82,4868,28656,87573,1.465824,26896,58416
367,93724,728051,1175390,1.395512,538756,1124688
747,501404,1970179,14730604,1.799527,2232036,6016848
695,238661,2751829,3324675,0.989617,1932100,2863932
955,650545,4543794,8137539,1.428090,3648100,7806540
920,315405,4470338,4345735,0.746097,3385600,3784860
813,356900,3581194,6791583,1.081260,2643876,4282800
550,201917,1532282,3764144,1.337420,1210000,2423004
602,351845,1027247,5413493,1.944959,1449616,4222140
13,132,478,1456,1.692308,676,1584
870,344579,3956618,8216562,0.911548,3027600,4134948
933,789085,3006385,8976826,1.814915,3481956,9469020
925,357113,5013793,5136426,0.835645,3422500,4285356
230,30377,307512,437049,1.153484,211600,364524
907,411200,4521324,5850907,1.000801,3290596,4934400
762,279890,3118867,3577610,0.965334,2322576,3358680
848,79265,3045223,1718447,0.220715,2876416,951180
746,310083,3019301,6837133,1.115868,2226064,3720996
756,68622,2261343,1284165,0.240450,2286144,823464
290,64570,466591,1084974,1.540866,336400,774840
989,487563,5637323,6453551,0.997947,3912484,5850756
80,5562,23216,96407,1.760127,25600,66744
939,546688,4971314,10657813,1.241370,3526884,6560256
900,286608,4899381,4442135,0.708461,3240000,3439296
695,409049,2137727,5151009,1.696137,1932100,4908588
768,496503,2383312,12931920,1.685758,2359296,5958036
463,31875,923231,611146,0.298028,857476,382500
226,1870,173593,69609,0.073550,204304,22440
875,437023,4056923,10767696,1.142917,3062500,5244276
407,25960,714105,589835,0.314206,662596,311520
802,607519,2006015,7210362,1.891398,2572816,7290228
117,10644,77192,245113,1.568523,54756,127728
91,5769,43956,121646,1.408791,33124,69228
708,364229,2444019,6186282,1.455298,2005056,4370748
4,6,55,77,1.000000,64,72
602,276571,1773471,5313662,1.528853,1449616,3318852
609,101453,1790987,1598577,0.547992,1483524,1217436
266,66555,282119,767525,1.888353,283024,798660
477,120149,1267937,1634533,1.058339,910116,1441788
314,88846,405632,1061815,1.807981,394384,1066152
368,61107,763922,787007,0.904914,541696,733284
604,175104,1977965,2298347,0.961550,1459264,2101248
173,19085,178950,349519,1.282767,119716,229020
573,115577,1755862,1673130,0.705262,1313316,1386924
600,294442,1531359,8946873,1.638520,1440000,3533304
615,105536,1825778,1630014,0.558968,1512900,1266432
491,56855,1137822,1086797,0.472630,964324,682260
323,95558,400162,1723741,1.837548,417316,1146696
19,6,80,54,0.035088,1444,72
403,54793,835040,1191427,0.676432,649636,657516
537,110113,1545202,2367141,0.765120,1153476,1321356
822,264727,3486484,4173437,0.784537,2702736,3176724
558,57647,1346311,1374116,0.370952,1245456,691764
653,346620,1833678,10449917,1.628257,1705636,4159440
214,7160,209249,190442,0.314159,183184,85920
296,43763,509197,781060,1.002359,350464,525156
106,117,286,60,0.021024,44944,1404
275,25341,418007,512244,0.672621,302500,304092
50,964,4731,10683,0.786939,10000,11568
670,407905,1573765,6212015,1.820070,1795600,4894860
791,60946,2353155,1257077,0.195062,2502724,731352
312,33459,556597,894441,0.689649,389376,401508
107,2178,46768,54174,0.384059,45796,26136
838,559936,3184491,12158705,1.596610,2808976,6719232
841,249945,4246014,4990808,0.707618,2829124,2999340
879,355966,5380979,6474267,0.922476,3090564,4271592
419,88898,991941,1731025,1.015153,702244,1066776
791,57829,2435268,1113101,0.185085,2502724,693948
221,2005,171769,78081,0.082476,195364,24060
952,692581,4505524,18614062,1.529971,3625216,8310972
219,30420,281436,709921,1.274350,191844,365040
758,180656,2935389,5518565,0.629676,2298256,2167872
630,12205,1235672,349997,0.061599,1587600,146460
460,185905,886599,2383978,1.760964,846400,2230860
328,86702,533586,1220631,1.616730,430336,1040424
812,215034,3358839,4266871,0.653071,2637376,2580408
43,350,2998,5348,0.387597,7396,4200
395,153347,443854,3217760,1.970661,624100,1840164
794,208903,3199936,4551554,0.663561,2521744,2506836
333,89739,505631,1897798,1.623413,443556,1076868
678,413923,1686123,4959406,1.803562,1838736,4967076
54,251,5284,4994,0.175402,11664,3012
133,11484,100341,256955,1.308271,70756,137808
978,331645,5012927,4553270,0.694177,3825936,3979740
855,60599,2685430,1246926,0.165986,2924100,727188
537,188619,1520965,3086728,1.310619,1153476,2263428
415,163606,579381,2620024,1.904499,688900,1963272
958,235576,4440295,3478626,0.513906,3671056,2826912
